Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,Zenaida macroura,Mourning Dove,0.1894
0,3.0,Zonotrichia albicollis,White-throated Sparrow,0.1052
3.0,6.0,Zenaida macroura,Mourning Dove,0.1188
3.0,6.0,Zonotrichia albicollis,White-throated Sparrow,0.1106
