sound.files,start,end,species,bottom.freq,top.freq,relative.amp,dist,distance_m,relative_dir,TA,vol
25_75N_YBC_100_A.mp3,0,20,YBC,1.652873563,1.752873563,0.015120583,75N,75,N,A,100
26_25S_AF_100_A.mp3,0,20,AF,5.229622396,5.329622396,0.027754747,25S,25,S,A,100
26_25S_AF_75_A.mp3,0,20,AF,5.229622396,5.329622396,0.008987469,25S,25,S,A,75
26_25S_BG_100_A.mp3,0,20,BG,6.830062305,6.930062305,0.017796285,25S,25,S,A,100
26_25S_BG_75_A.mp3,0,20,BG,6.830062305,6.930062305,0.009494404,25S,25,S,A,75
26_25S_CW5_50_A.mp3,0,20,CW5,2.953070175,3.053070175,0.015440988,25S,25,S,A,50
26_25S_CW5_75_A.mp3,0,20,CW5,2.953070175,3.053070175,0.019415853,25S,25,S,A,75
26_25S_EWP_100_A.mp3,0,20,EWP,4.155357143,4.255357143,0.007380693,25S,25,S,A,100
26_25S_EWP_75_A.mp3,0,20,EWP,4.155357143,4.255357143,0.007793888,25S,25,S,A,75
26_25S_YBC_100_A.mp3,0,20,YBC,1.652873563,1.752873563,0.017830284,25S,25,S,A,100
26_25S_YBC_75_A.mp3,0,20,YBC,1.652873563,1.752873563,0.013971538,25S,25,S,A,75
27_50N_AF_100_A.mp3,0,20,AF,5.229622396,5.329622396,0.028998406,50N,50,N,A,100
27_50N_AF_75_A.mp3,0,20,AF,5.229622396,5.329622396,0.003353637,50N,50,N,A,75
27_50N_BG_100_A.mp3,0,20,BG,6.830062305,6.930062305,0.004667536,50N,50,N,A,100
27_50N_BG_75_A.mp3,0,20,BG,6.830062305,6.930062305,0.0040597,50N,50,N,A,75
27_50N_CW5_50_A.mp3,0,20,CW5,2.953070175,3.053070175,0.007630663,50N,50,N,A,50
27_50N_CW5_75_A.mp3,0,20,CW5,2.953070175,3.053070175,0.020457487,50N,50,N,A,75
27_50N_EWP_100_A.mp3,0,20,EWP,4.155357143,4.255357143,0.004321238,50N,50,N,A,100
27_50N_EWP_75_A.mp3,0,20,EWP,4.155357143,4.255357143,0.00538677,50N,50,N,A,75
27_50N_YBC_100_A.mp3,0,20,YBC,1.652873563,1.752873563,0.023551235,50N,50,N,A,100
27_50N_YBC_75_A.mp3,0,20,YBC,1.652873563,1.752873563,0.007531826,50N,50,N,A,75
28_50S_AF_100_A.mp3,0,20,AF,5.229622396,5.329622396,0.016944092,50S,50,S,A,100
28_50S_AF_75_A.mp3,0,20,AF,5.229622396,5.329622396,0.005444629,50S,50,S,A,75
28_50S_BG_100_A.mp3,0,20,BG,6.830062305,6.930062305,0.009347457,50S,50,S,A,100
28_50S_CW5_75_A.mp3,0,20,CW5,2.953070175,3.053070175,0.020567189,50S,50,S,A,75
28_50S_YBC_100_A.mp3,0,20,YBC,1.652873563,1.752873563,0.010757403,50S,50,S,A,100
